2025-12-13 14:13:00,867 - [CLIENT ???] Connecting to ('127.0.0.1', 1234)...
2025-12-13 14:13:00,874 - [CLIENT 004] Successfully connected! Assigned Player ID: 4
2025-12-13 14:13:00,976 - [CLIENT 004] Packet error: 'GridClashGame' object has no attribute 'GameEvent'
2025-12-13 14:13:01,339 - [CLIENT 004] Successfully claimed block at (6, 7)
2025-12-13 14:13:02,185 - [CLIENT 003] Successfully claimed block at (6, 2)
2025-12-13 14:13:03,466 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-13 14:13:04,711 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-13 14:13:05,015 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-13 14:13:06,071 - [CLIENT 003] Successfully claimed block at (5, 3)
2025-12-13 14:13:08,743 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-13 14:13:09,868 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-2025-12-13 14:13:12,921 - [CLIENT 002] Successfully claimed block at (172025-12025-12-13 14:13:14,719 - [CLIENT 002] Successfully claimed block at (12025-122025-12-13 14:13:15,950 - [CLIENT 002] Successfully claimed block at (2025-12-2025-12-13 14:13:20,606 - [CLIENT 002] Successfully claimed block at 2025-12-12025-12-13 14:13:23,832 - [CLIENT 001] Successfully claimed block at2025-12-132025-12-13 14:13:25,491 - [CLIENT 001] Successfully claimed block a2025-12-13 2025-12-13 14:13:26,064 - [CLIENT 001] Successfully claimed block 2025-12-13 12025-12-13 14:13:27,911 - [CLIENT 001] Successfully claimed block2025-12-13 12025-12-13 14:13:30,314 - [CLIENT 001] Successfully claimed block2025-12-13 12025-12-13 14:13:33,321 - [CLIENT 001] Successfully claimed block2025-12-13 12025-12-13 14:13:35,494 - [CLIENT 001] Successfully claimed block2025-12-13 12025-12-13 14:13:37,949 - [CLIENT 001] Successfully claimed block2025-12-13 142025-12-13 14:13:38,584 - [CLIENT 001] Successfully claimed bloc2025-12-13 14:2025-12-13 14:13:40,956 - [CLIENT 001] Successfully claimed blo2025-12-13 14:12025-12-13 14:13:42,306 - [CLIENT 001] Successfully claimed bl2025-12-13 14:132025-12-13 14:13:43,577 - [CLIENT 001] Successfully claimed b2025-12-13 14:13:2025-12-13 14:13:48,039 - [CLIENT 001] Successfully claimed 2025-12-13 14:13:42025-12-13 14:13:50,955 - [CLIENT 001] Successfully claimed2025-12-13 14:13:52025-12-13 14:13:54,292 - [CLIENT 001] Successfully claimed2025-12-13 14:13:52025-12-13 14:13:56,114 - [CLIENT 001] Successfully claimed2025-12-13 14:13:52025-12-13 14:13:57,401 - [CLIENT 001] Successfully claimed2025-12-13 14:13:52025-12-13 14:14:00,653 - [CLIENT 001] Successfully claimed2025-12-13 14:14:02025-12-13 14:14:03,288 - [CLIENT 001] Successfully claimed2025-12-13 14:14:02025-12-13 14:14:04,020 - [CLIENT 001] Successfully claimed2025-12-13 14:14:02025-12-13 14:14:05,694 - [CLIENT 001] Successfully claimed2025-12-13 14:14:02025-12-13 14:14:06,363 - [CLIENT 001] Game Over received.
2025-12-13 14:14:06,363 - [CLIENT 001] Winner: 4. Stats - Sent: 14438, Recv: 14959
 [CLIENT2025-12-13 14:14:06,359 - [CLIENT 002] Winner: 4. Stats - Sent: 14438, Recv: 14959
 You collected a SPECIAL BOOST (Type 1)!
2025-12-13 14:13:03,582 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:03,593 - [CLIENT 004] Successfully claimed block at (16, 7)
2025-12-13 14:13:03,699 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-13 14:13:03,710 - [CLIENT 004] Successfully claimed block at (17, 7)
2025-12-13 14:13:03,732 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:03,743 - [CLIENT 004] Successfully claimed block at (17, 7)
2025-12-13 14:13:03,832 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-13 14:13:03,865 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:03,872 - [CLIENT 004] Successfully claimed block at (18, 7)
2025-12-13 14:13:03,968 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-13 14:13:04,052 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,058 - [CLIENT 004] Successfully claimed block at (19, 7)
2025-12-13 14:13:04,216 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,224 - [CLIENT 004] Successfully claimed block at (19, 7)
2025-12-13 14:13:04,381 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,385 - [CLIENT 004] Successfully claimed block at (19, 8)
2025-12-13 14:13:04,414 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:04,562 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,563 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:04,570 - [CLIENT 004] Successfully claimed block at (19, 9)
2025-12-13 14:13:04,710 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,710 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:04,720 - [CLIENT 004] Successfully claimed block at (19, 10)
2025-12-13 14:13:04,828 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:04,859 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:04,863 - [CLIENT 004] Successfully claimed block at (19, 12)
2025-12-13 14:13:04,961 - [CLIENT 004] Successfully claimed block at (19, 12)
2025-12-13 14:13:04,973 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:05,006 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:05,015 - [CLIENT 004] Successfully claimed block at (19, 13)
2025-12-13 14:13:05,108 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:05,159 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-13 14:13:05,166 - [CLIENT 004] Successfully claimed block at (19, 14)
2025-12-13 14:13:05,242 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-13 14:13:05,262 - [CLIENT 004] Successfully claimed block at (19, 15)
