timestamp,cpu_percent,clients_connected,packets_sent,packets_received,bandwidth_kbps
1765627976.70,5.4,0,0,0,0.00
1765627977.70,7.6,0,0,0,0.00
1765627978.70,34.8,0,0,0,0.00
1765627979.71,37.5,0,0,0,0.00
1765627980.71,28.7,3,66,57,36.76
1765627981.72,23.8,4,278,269,119.76
1765627982.73,19.5,4,500,503,142.07
1765627983.73,39.8,4,724,740,143.85
1765627984.73,17.2,4,950,965,144.78
1765627985.74,18.4,4,1175,1199,159.92
1765627986.74,17.8,4,1396,1437,158.07
1765627987.74,18.6,4,1620,1665,148.82
1765627988.74,18.0,4,1838,1895,153.60
1765627989.75,16.8,4,2053,2122,150.25
1765627990.76,20.8,4,2279,2347,156.59
1765627991.77,18.4,4,2507,2589,170.36
1765627992.77,18.1,4,2722,2812,164.06
1765627993.78,47.4,4,2926,3026,144.46
1765627994.78,20.0,4,3151,3259,165.64
1765627995.79,17.3,4,3372,3488,153.14
1765627996.79,16.8,4,3604,3717,154.65
1765627997.80,16.1,4,3819,3939,152.80
1765627998.81,21.1,4,4022,4154,145.87
1765627999.81,18.6,4,4242,4385,151.33
1765628000.82,17.1,4,4455,4609,148.48
1765628001.83,17.6,4,4675,4833,152.80
1765628002.83,20.5,4,4907,5077,165.92
1765628003.84,18.3,4,5119,5299,157.02
1765628004.84,18.6,4,5344,5527,161.19
1765628005.85,20.3,4,5570,5760,158.93
1765628006.85,16.9,4,5815,6009,179.24
1765628007.86,21.6,4,6013,6216,148.38
1765628008.86,32.1,4,6220,6432,145.46
1765628009.87,19.9,4,6455,6671,171.60
1765628010.88,17.4,4,6681,6908,168.30
1765628011.89,18.2,4,6901,7139,163.29
1765628012.89,15.4,4,7116,7362,158.63
1765628013.89,16.6,4,7332,7588,158.45
1765628014.90,17.7,4,7544,7809,153.20
1765628015.91,16.5,4,7762,8038,164.79
1765628016.92,22.2,4,7978,8260,163.29
1765628017.93,19.4,4,8210,8500,175.73
1765628018.93,17.5,4,8431,8728,173.37
1765628019.93,17.4,4,8648,8958,173.01
1765628020.93,17.5,4,8874,9193,179.15
1765628021.94,19.2,4,9093,9418,177.48
1765628022.95,17.7,4,9327,9654,187.89
1765628023.95,49.1,4,9557,9886,182.77
1765628024.96,27.6,4,9763,10104,171.94
1765628025.96,18.3,4,9985,10334,186.68
1765628026.96,16.3,4,10212,10572,181.65
1765628027.97,19.4,4,10426,10796,175.87
1765628028.98,18.0,4,10654,11037,186.19
1765628029.98,16.3,4,10878,11264,182.12
1765628030.99,20.0,4,11102,11493,187.64
1765628031.99,17.2,4,11324,11728,186.40
1765628033.00,18.3,4,11539,11950,179.14
1765628034.00,17.1,4,11753,12180,179.76
1765628035.01,14.3,4,11979,12409,182.45
1765628036.02,20.8,4,12195,12635,177.06
1765628037.02,19.8,4,12415,12865,186.56
1765628038.03,19.7,4,12633,13088,183.15
1765628039.03,31.5,4,12837,13305,174.80
1765628040.04,19.0,4,13066,13544,203.49
1765628041.04,18.3,4,13299,13785,201.39
1765628042.04,17.6,4,13519,14010,189.56
1765628043.05,21.2,4,13732,14228,190.83
1765628044.06,17.4,4,13949,14452,186.29
1765628045.07,18.2,4,14171,14679,187.69
1765628046.07,18.9,4,14379,14894,183.07
1765628047.08,19.7,4,14587,15108,182.51
1765628048.09,21.7,4,14799,15209,161.30
1765628049.09,9.7,4,15003,15209,141.56
1765628050.09,12.0,4,15199,15209,136.41
