timestamp,cpu_percent,clients_connected,packets_sent,packets_received,bandwidth_kbps
1765406820.89,6.0,0,0,0,0.00
1765406821.89,7.1,0,0,0,0.00
1765406822.89,33.4,0,0,0,0.00
1765406823.90,38.5,0,0,0,0.00
1765406824.90,33.2,3,36,31,19.87
1765406825.91,26.9,4,132,131,55.30
1765406826.92,17.9,4,237,238,65.55
1765406827.92,14.3,4,339,345,65.05
1765406828.93,14.6,4,442,450,64.32
1765406829.93,16.7,4,549,556,71.94
1765406830.94,15.6,4,649,658,69.64
1765406831.94,13.5,4,743,762,67.74
1765406832.94,16.9,4,848,870,75.22
1765406833.95,15.3,4,949,973,72.35
1765406834.95,19.9,4,1049,1077,72.98
1765406835.96,29.7,4,1147,1178,73.32
1765406836.96,21.5,4,1245,1284,76.47
1765406837.96,32.5,4,1339,1381,70.41
1765406838.97,21.8,4,1443,1486,79.84
1765406839.98,20.6,4,1543,1589,78.46
1765406840.98,17.9,4,1645,1695,80.30
1765406841.98,11.5,4,1747,1794,81.36
1765406842.98,17.9,4,1845,1895,79.90
1765406843.98,12.9,4,1939,2001,81.60
1765406844.99,12.6,4,2043,2107,87.80
1765406845.99,14.5,4,2143,2210,85.70
1765406846.99,15.8,4,2241,2315,82.00
1765406847.99,20.3,4,2343,2414,84.06
1765406849.00,18.5,4,2441,2519,83.17
1765406850.00,14.4,4,2541,2624,85.72
1765406851.00,15.9,4,2648,2730,89.55
1765406852.01,15.4,4,2747,2834,87.33
1765406853.02,40.3,4,2837,2928,78.05
1765406854.02,28.7,4,2939,3033,91.29
1765406855.03,19.2,4,3040,3136,91.25
1765406856.03,17.3,4,3135,3241,88.72
1765406857.03,14.3,4,3241,3347,97.00
1765406858.04,15.9,4,3342,3456,96.89
1765406859.04,15.9,4,3441,3560,95.91
1765406860.05,14.7,4,3545,3661,95.15
1765406861.05,12.7,4,3641,3766,91.83
1765406862.05,14.5,4,3739,3869,93.87
1765406863.06,14.6,4,3847,3975,98.54
1765406864.07,18.6,4,3947,4081,97.29
1765406865.07,17.9,4,4045,4183,96.89
1765406866.07,30.5,4,4143,4285,94.45
1765406867.07,22.5,4,4244,4388,100.00
1765406868.08,29.1,4,4337,4485,92.29
1765406869.09,23.0,4,4441,4588,103.28
1765406870.09,19.2,4,4539,4689,102.92
1765406871.09,16.2,4,4633,4796,100.36
1765406872.10,16.9,4,4735,4904,107.40
1765406873.10,19.6,4,4837,5011,107.98
1765406874.11,14.5,4,4935,5110,105.09
1765406875.11,14.1,4,5033,5215,106.41
1765406876.11,18.7,4,5135,5317,109.61
1765406877.11,16.0,4,5229,5423,106.59
1765406878.12,16.8,4,5335,5528,114.99
1765406879.12,20.2,4,5436,5632,114.24
1765406880.13,19.9,4,5535,5737,113.40
1765406881.14,17.2,4,5641,5843,113.18
1765406882.14,19.9,4,5741,5947,112.69
1765406883.14,31.8,4,5833,6045,104.33
1765406884.15,20.8,4,5935,6149,115.41
1765406885.15,17.6,4,6031,6254,112.22
1765406886.15,17.3,4,6131,6358,115.73
1765406887.16,32.4,4,6233,6463,118.47
1765406888.17,18.9,4,6334,6566,117.17
1765406889.17,17.3,4,6437,6670,119.07
1765406890.17,15.7,4,6541,6773,119.85
1765406891.18,15.8,4,6641,6876,118.01
1765406892.18,13.5,4,6739,6980,116.31
1765406893.19,14.7,4,6841,7083,120.64
1765406894.19,15.5,4,6946,7190,123.65
1765406895.20,22.8,4,7047,7270,116.73
1765406896.21,18.5,4,7143,7272,88.48
1765406897.21,7.9,4,7235,7272,82.79
1765406898.22,32.5,4,7323,7272,78.97
1765406899.22,12.8,4,7423,7272,89.04
1765406900.22,8.2,4,7519,7272,88.89
1765406901.23,10.6,4,7615,7272,88.85
