time,snapshot_id,player_id,server_row,server_col,display_row,display_col
1765413714.251861,135,4,6,7,6,7
1765413714.265016,135,4,6,7,6,7
1765413714.281118,136,4,6,7,6,7
1765413714.297096,136,4,6,7,6,7
1765413714.313591,137,4,6,7,6,7
1765413714.330165,137,4,6,7,6,7
1765413714.346717,137,4,6,7,6,7
1765413714.362645,138,4,6,7,6,7
1765413714.378791,138,4,6,7,6,7
1765413714.395177,138,4,6,7,6,7
1765413714.412187,139,4,6,7,6,7
1765413714.428757,139,4,6,7,6,7
1765413714.445341,140,4,6,7,6,7
1765413714.461656,140,4,6,7,6,7
1765413714.478021,140,4,6,7,6,7
1765413714.494686,141,4,6,7,6,7
1765413714.511079,141,4,6,7,6,7
1765413714.528476,142,4,6,7,6,7
1765413714.544983,142,4,6,7,6,7
1765413714.562304,142,4,6,7,6,7
1765413714.578860,143,4,6,7,6,7
1765413714.595024,143,4,6,7,6,7
1765413714.612142,144,4,6,7,6,7
1765413714.629401,144,4,6,7,6,7
1765413714.647273,144,4,6,7,6,7
1765413714.663045,145,4,6,7,6,7
1765413714.681396,146,4,6,7,6,7
1765413714.698673,146,4,6,7,6,7
1765413714.714485,146,4,6,7,6,7
1765413714.732254,147,4,6,7,6,7
1765413714.749280,147,4,6,7,6,7
1765413714.766852,148,4,6,7,6,7
1765413714.783358,148,4,6,7,6,7
1765413714.800145,148,4,6,7,6,7
1765413714.817993,149,4,6,7,6,7
1765413714.834796,149,4,6,7,6,7
1765413714.850729,150,4,5,7,5,7
1765413714.866931,150,4,5,7,5,7
1765413714.883056,150,4,5,7,5,7
1765413714.900099,151,4,5,7,5,7
1765413714.917234,151,4,5,7,5,7
1765413714.933783,151,4,5,7,5,7
1765413714.950160,152,4,5,7,5,7
1765413714.967307,152,4,5,7,5,7
1765413714.984542,153,4,5,7,5,7
1765413715.000821,153,4,5,7,5,7
1765413715.016775,153,4,5,7,5,7
1765413715.032746,154,4,5,7,5,7
1765413715.049388,154,4,5,7,5,7
1765413715.066068,155,4,5,7,5,7
1765413715.082980,155,4,5,7,5,7
1765413715.100613,155,4,5,7,5,7
1765413715.117481,156,4,5,7,5,7
1765413715.134665,156,4,5,7,5,7
1765413715.151521,157,4,5,7,5,7
1765413715.168407,157,4,5,7,5,7
1765413715.185109,157,4,5,7,5,7
1765413715.201726,158,4,5,7,5,7
1765413715.217884,158,4,5,7,5,7
1765413715.234179,159,4,5,7,5,7
1765413715.250479,159,4,5,7,5,7
1765413715.267205,159,4,5,7,5,7
1765413715.283645,160,4,5,7,5,7
1765413715.300339,160,4,5,7,5,7
1765413715.316939,161,4,5,7,5,7
1765413715.332332,161,4,5,7,5,7
1765413715.348121,161,4,5,7,5,7
1765413715.365545,162,4,5,7,5,7
1765413715.381541,162,4,5,7,5,7
1765413715.398200,163,4,5,7,5,7
1765413715.415301,163,4,5,7,5,7
1765413715.432562,163,4,5,7,5,7
1765413715.448256,164,4,5,7,5,7
1765413715.465196,164,4,5,7,5,7
1765413715.481576,165,4,5,7,5,7
1765413715.497332,165,4,5,7,5,7
1765413715.513724,165,4,5,7,5,7
1765413715.530758,166,4,5,7,5,7
1765413715.546906,166,4,5,7,5,7
1765413715.563944,167,4,5,7,5,7
1765413715.580793,167,4,5,7,5,7
1765413715.597377,167,4,5,7,5,7
1765413715.614145,168,4,5,7,5,7
1765413715.631459,168,4,5,7,5,7
1765413715.648271,169,4,5,7,5,7
1765413715.665197,169,4,5,7,5,7
1765413715.706885,169,4,5,7,5,7
1765413715.737469,169,4,5,7,5,7
1765413715.759534,169,4,5,7,5,7
1765413715.780068,169,4,5,7,5,7
1765413715.801623,169,4,5,7,5,7
1765413715.818706,169,4,5,7,5,7
1765413715.839010,170,4,5,7,5,7
1765413715.856080,170,4,5,7,5,7
1765413715.872618,170,4,5,7,5,7
1765413715.889219,170,4,5,7,5,7
1765413715.906824,171,4,4,7,4,7
1765413715.922836,171,4,4,7,4,7
1765413715.940194,171,4,4,7,4,7
1765413715.960968,172,4,4,7,4,7
1765413715.979144,173,4,4,7,4,7
1765413715.996402,173,4,4,7,4,7
1765413716.013435,173,4,4,7,4,7
1765413716.030076,174,4,4,7,4,7
1765413716.046938,174,4,4,7,4,7
1765413716.062809,175,4,4,7,4,7
