2025-12-11 02:41:53,958 - [CLIENT ???] Connecting to ('127.0.0.1', 1234)...
2025-12-11 02:41:53,960 - [CLIENT 004] Successfully connected! Assigned Player ID: 4
2025-12-11 02:41:54,062 - [CLIENT 004] Packet error: 'GridClashGame' object has no attribute 'GameEvent'
2025-12-11 02:41:54,432 - [CLIENT 004] Successfully claimed block at (6, 7)
2025-12-11 02:41:55,485 - [CLIENT 004] Successfully claimed block at (5, 7)
2025-12-11 02:41:56,757 - [CLIENT 004] Successfully claimed block at (3, 7)
2025-12-11 02:41:58,010 - [CLIENT 004] Successfully claimed block at (3, 8)
2025-12-11 02:41:58,316 - [CLIENT 004] Successfully claimed block at (3, 8)
2025-12-11 02:41:59,375 - [CLIENT 004] Successfully claimed block at (4, 8)
2025-12-11 02:42:02,045 - [CLIENT 004] Successfully claimed block at (3, 7)
2025-12-11 02:42:03,166 - [CLIENT 004] Successfully claimed block at (3, 6)
2025-12-11 02:42:06,625 - [CLIENT 004] Successfully claimed block at (4, 6)
2025-12-11 02:42:08,430 - [CLIENT 004] Successfully claimed block at (2, 6)
2025-12-11 02:42:09,667 - [CLIENT 004] Successfully claimed block at (2, 7)
2025-12-11 02:42:14,307 - [CLIENT 004] Successfully claimed block at (3, 11)22025-12-11 02:42:17,674 - [CLIENT 004] Successfully claimed block at (3, 8)22025-12-11 02:42:19,333 - [CLIENT 004] Successfully claimed block at (4, 7)22025-12-11 02:42:19,902 - [CLIENT 004] Successfully claimed block at (4, 7)22025-12-11 02:42:21,755 - [CLIENT 004] Successfully claimed block at (4, 6)22025-12-11 02:42:24,143 - [CLIENT 004] Successfully claimed block at (4, 6)22025-12-11 02:42:27,209 - [CLIENT 004] Successfully claimed block at (6, 5)22025-12-11 02:42:29,373 - [CLIENT 004] Successfully claimed block at (7, 5)22025-12-11 02:42:31,833 - [CLIENT 004] Successfully claimed block at (6, 7)22025-12-11 02:42:32,476 - [CLIENT 004] Successfully claimed block at (6, 7)22025-12-11 02:42:34,836 - [CLIENT 004] Successfully claimed block at (6, 7)22025-12-11 02:42:36,200 - [CLIENT 004] Successfully claimed block at (5, 7)22025-12-11 02:42:37,467 - [CLIENT 004] Successfully claimed block at (5, 8)
im2025-12-11 02:42:37,193 - [CLIENT 003] Successfully claimed block at (3, 3)
ON: User requested move direction 1
2025-12-11 02:42:17,214 - [CLIENT 001] ACTION: User requested move direction 1
2025-12-11 02:42:17,247 - [CLIENT 001] ACTION: User attempting to CLAIM block
2025-12-11 02:42:17,251 - [CLIENT 001] Successfully claimed block at (5, 13)
2025-12-11 02:42:17,379 - [CLIENT 001] ACTION: User requested move direction 1
2025-12-11 02:42:17,495 - [CLIENT 001] ACTION: User requested move direction 1
2025-12-11 02:42:17,545 - [CLIENT 001] ACTION: User attempting to CLAIM block
2025-12-11 02:42:17,550 - [CLIENT 001] Successfully claimed block at (7, 12)
2025-12-11 02:42:17,661 - [CLIENT 001] ACTION: User requested move direction 1
2025-12-11 02:42:17,713 - [CLIENT 001] ACTION: User attempting to CLAIM block
2025-12-11 02:42:17,716 - [CLIENT 001] Successfully claimed block at (8, 12)
2025-12-11 02:42:17,813 - [CLIENT 001] ACTION: User requested move direction 1
2025-12-11 02:42:18,572 - [CLIENT 001] Successfully claimed block at (10, 12)
2025-12-11 02:42:19,142 - [CLIENT 001] Successfully claimed block at (10, 12)
2025-12-11 02:42:20,999 - [CLIENT 001] Successfully claimed block at (10, 10)
2025-12-11 02:42:23,378 - [CLIENT 001] Successfully claimed block at (10, 10)
2025-12-11 02:42:26,396 - [CLIENT 001] Successfully claimed block at (10, 9)
2025-12-11 02:42:28,557 - [CLIENT 001] Successfully claimed block at (11, 9)
2025-12-11 02:42:31,026 - [CLIENT 001] Successfully claimed block at (10, 11)
2025-12-11 02:42:31,661 - [CLIENT 001] Successfully claimed block at (10, 11)
2025-12-11 02:42:34,016 - [CLIENT 001] Successfully claimed block at (10, 11)
2025-12-11 02:42:35,384 - [CLIENT 001] Successfully claimed block at (9, 11)
2025-12-11 02:42:36,654 - [CLIENT 001] Successfully claimed block at (9, 12)
