timestamp,cpu_percent,clients_connected,packets_sent,packets_received,bandwidth_kbps
1765413709.59,6.9,0,0,0,0.00
1765413710.59,10.0,0,0,0,0.00
1765413711.60,44.4,0,0,0,0.00
1765413712.61,50.7,0,0,0,0.00
1765413713.62,33.0,2,23,18,12.38
1765413714.62,29.6,4,121,120,56.87
1765413715.62,17.4,4,226,227,65.70
1765413716.63,33.2,4,312,316,54.04
1765413717.64,15.3,4,413,421,64.04
1765413718.64,15.0,4,522,524,71.52
1765413719.65,22.3,4,618,629,68.28
1765413720.65,40.3,4,717,731,69.32
1765413721.66,22.6,4,816,837,72.27
1765413722.66,11.2,4,919,943,73.99
1765413723.66,17.8,4,1018,1045,72.10
1765413724.67,13.7,4,1121,1151,77.13
1765413725.67,23.7,4,1218,1256,75.60
1765413726.68,24.0,4,1321,1359,76.42
1765413727.68,13.0,4,1423,1465,79.69
1765413728.69,14.6,4,1525,1567,79.19
1765413729.69,12.5,4,1626,1672,79.74
1765413730.69,12.4,4,1725,1776,80.10
1765413731.70,17.7,4,1826,1879,82.41
1765413732.70,15.5,4,1925,1986,84.00
1765413733.71,17.9,4,2028,2091,87.35
1765413734.72,16.6,4,2129,2195,85.97
1765413735.72,19.4,4,2226,2300,81.72
1765413736.73,23.2,4,2331,2403,85.65
1765413737.74,18.5,4,2436,2518,89.09
1765413738.74,17.5,4,2537,2625,87.82
1765413739.74,12.6,4,2643,2729,90.75
1765413740.74,18.1,4,2743,2834,86.08
1765413741.75,16.4,4,2843,2938,85.15
1765413742.75,16.1,4,2943,3042,86.55
1765413743.75,17.4,4,3042,3147,88.18
1765413744.75,14.8,4,3143,3254,89.29
1765413745.76,14.3,4,3244,3354,90.30
1765413746.77,20.0,4,3345,3462,91.76
1765413747.77,37.7,4,3432,3559,81.04
1765413748.78,15.1,4,3537,3666,95.49
1765413749.78,12.4,4,3636,3768,93.65
1765413750.79,13.1,4,3735,3874,94.90
1765413751.79,16.2,4,3840,3973,96.62
1765413752.79,17.9,4,3939,4080,95.56
1765413753.80,12.9,4,4036,4186,96.87
1765413754.82,18.9,4,4142,4293,101.32
1765413755.82,12.2,4,4242,4391,99.04
1765413756.82,12.7,4,4349,4497,102.58
1765413757.83,15.7,4,4448,4599,101.84
1765413758.83,13.5,4,4547,4705,105.04
