pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
2025-12-13 14:51:04,567 - [CLIENT ???] Connecting to ('127.0.0.1', 1234)...
2025-12-13 14:51:04,575 - [CLIENT 002] Successfully connected! Assigned Player ID: 2
2025-12-13 14:51:04,682 - [CLIENT 002] Applied full snapshot from ID 0.
2025-12-13 14:51:06,657 - [CLIENT 002] Successfully claimed block at (1, 15)
2025-12-13 14:51:07,034 - [CLIENT 002] Successfully claimed block at (0, 16)
2025-12-13 14:51:07,807 - [CLIENT 002] You collected a SPECIAL BOOST (Type 1)!
2025-12-13 14:51:08,238 - [CLIENT 002] Successfully claimed block at (2, 13)
2025-12-13 14:51:08,720 - [CLIENT 002] Successfully claimed block at (0, 11)
2025-12-13 14:51:09,241 - [CLIENT 002] Successfully claimed block at (1, 14)
2025-12-13 14:51:09,633 - [CLIENT 002] Successfully claimed block at (0, 14)
2025-12-13 14:51:09,728 - [CLIENT 002] Successfully claimed block at (0, 14)
2025-12-13 14:51:10,513 - [CLIENT 002] Successfully claimed block at (3, 16)
2025-12-13 14:51:10,904 - [CLIENT 002] Successfully claimed block at (2, 13)
2025-12-13 14:51:11,364 - [CLIENT 002] Successfully claimed block at (1, 11)
2025-12-13 14:51:12,127 - [CLIENT 002] Successfully claimed block at (1, 8)
2025-12-13 14:51:12,840 - [CLIENT 002] Successfully claimed block at (2, 8)
2025-12-13 14:51:12,987 - [CLIENT 002] Successfully claimed block at (1, 8)
2025-12-13 14:51:13,692 - [CLIENT 002] Successfully claimed block at (2, 8)
2025-12-13 14:51:14,570 - [CLIENT 002] Successfully claimed block at (1, 9)
2025-12-13 14:51:14,999 - [CLIENT 002] Successfully claimed block at (2, 7)
2025-12-13 14:51:16,744 - [CLIENT 002] Successfully claimed block at (0, 10)
2025-12-13 14:51:17,549 - [CLIENT 002] Successfully claimed block at (1, 15)
2025-12-13 14:51:17,820 - [CLIENT 002] Successfully claimed block at (0, 15)
2025-12-13 14:51:18,332 - [CLIENT 002] Successfully claimed block at (0, 12)
2025-12-13 14:51:18,405 - [CLIENT 002] Successfully claimed block at (0, 12)
2025-12-13 14:51:19,057 - [CLIENT 002] Successfully claimed block at (0, 11)
2025-12-13 14:51:20,381 - [CLIENT 002] Successfully claimed block at (4, 8)
2025-12-13 14:51:20,675 - [CLIENT 002] Successfully claimed block at (4, 8)
2025-12-13 14:51:22,566 - [CLIENT 002] Successfully claimed block at (4, 9)
2025-12-13 14:51:25,664 - [CLIENT 002] Successfully claimed block at (5, 14)
2025-12-13 14:51:26,571 - [CLIENT 002] You collected a SPECIAL BOOST (Type 1)!
2025-12-13 14:51:27,066 - [CLIENT 002] Successfully claimed block at (6, 17)
2025-12-13 14:51:27,442 - [CLIENT 002] Successfully claimed block at (6, 17)
2025-12-13 14:51:27,505 - [CLIENT 002] Successfully claimed block at (6, 17)
2025-12-13 14:51:28,005 - [CLIENT 002] Successfully claimed block at (6, 14)
2025-12-13 14:51:28,328 - [CLIENT 002] Successfully claimed block at (7, 15)
2025-12-13 14:51:28,664 - [CLIENT 002] Successfully claimed block at (6, 15)
2025-12-13 14:51:29,210 - [CLIENT 002] Successfully claimed block at (5, 12)
2025-12-13 14:51:31,397 - [CLIENT 002] Successfully claimed block at (5, 13)
2025-12-13 14:51:31,566 - [CLIENT 002] Successfully claimed block at (6, 13)
2025-12-13 14:51:32,090 - [CLIENT 002] Successfully claimed block at (8, 13)
2025-12-13 14:51:32,755 - [CLIENT 002] Successfully claimed block at (11, 10)
2025-12-13 14:51:34,442 - [CLIENT 002] Successfully claimed block at (11, 11)
2025-12-13 14:51:35,690 - [CLIENT 002] Successfully claimed block at (8, 11)
2025-12-13 14:51:36,355 - [CLIENT 002] Successfully claimed block at (6, 11)
2025-12-13 14:51:36,409 - [CLIENT 002] Successfully claimed block at (6, 11)
2025-12-13 14:51:37,850 - [CLIENT 002] Successfully claimed block at (7, 9)
2025-12-13 14:51:40,782 - [CLIENT 002] Successfully claimed block at (11, 9)
2025-12-13 14:51:41,001 - [CLIENT 002] Successfully claimed block at (11, 8)
2025-12-13 14:51:41,376 - [CLIENT 002] You collected a SPECIAL BOOST (Type 1)!
2025-12-13 14:51:42,199 - [CLIENT 002] You collected a SPECIAL BOOST (Type 1)!
2025-12-13 14:51:42,915 - [CLIENT 002] Successfully claimed block at (12, 12)
2025-12-13 14:51:43,627 - [CLIENT 002] Successfully claimed block at (10, 14)
2025-12-13 14:51:43,981 - [CLIENT 002] Successfully claimed block at (9, 13)
2025-12-13 14:51:44,412 - [CLIENT 002] Successfully claimed block at (9, 12)
2025-12-13 14:51:45,021 - [CLIENT 002] Successfully claimed block at (7, 13)
2025-12-13 14:51:45,790 - [CLIENT 002] Successfully claimed block at (7, 11)
2025-12-13 14:51:45,906 - [CLIENT 002] Successfully claimed block at (6, 11)
