/mnt/d/Kareem/downloads/Network Project 33/Network Project/venv/lib/python3.12/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
2025-12-12 04:20:33,528 - [CLIENT ???] Connecting to ('127.0.0.1', 1234)...
2025-12-12 04:20:33,530 - [CLIENT 003] Successfully connected! Assigned Player ID: 3
2025-12-12 04:20:33,642 - [CLIENT 003] Packet error: 'GridClashGame' object has no attribute 'GameEvent'
2025-12-12 04:20:34,010 - [CLIENT 003] Successfully claimed block at (7, 2)
2025-12-12 04:20:35,087 - [CLIENT 003] Successfully claimed block at (6, 2)
2025-12-12 04:20:36,387 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-12 04:20:37,646 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-12 04:20:37,954 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-12 04:20:39,042 - [CLIENT 003] Successfully claimed block at (5, 3)
2025-12-12 04:20:41,712 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-12 04:20:42,825 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-12 04:20:44,924 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-12 04:20:46,729 - [CLIENT 003] Successfully claimed block at (3, 1)
2025-12-12 04:20:47,957 - [CLIENT 003] Successfully claimed block at (3, 2)
2025-12-12 04:20:52,599 - [CLIENT 003] Successfully claimed block at (4, 5)
2025-12-12 04:20:55,958 - [CLIENT 003] Successfully claimed block at (3, 2)
2025-12-12 04:20:57,615 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-12 04:20:58,182 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-12 04:21:00,034 - [CLIENT 003] Successfully claimed block at (4, 0)
2025-12-12 04:21:02,422 - [CLIENT 003] Successfully claimed block at (4, 0)
2025-12-12 04:21:05,434 - [CLIENT 003] Successfully claimed block at (4, 0)
2025-12-12 04:21:07,601 - [CLIENT 003] Successfully claimed block at (5, 0)
2025-12-12 04:21:10,058 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-12 04:21:10,689 - [CLIENT 003] Successfully claimed block at (4, 2)
