2025-12-11 03:08:38,052 - [CLIENT ???] Connecting to ('127.0.0.1', 1234)...
2025-12-11 03:08:38,061 - [CLIENT 004] Successfully connected! Assigned Player ID: 4
2025-12-11 03:08:38,194 - [CLIENT 004] Packet error: 'GridClashGame' object has no attribute 'GameEvent'
2025-12-11 03:08:38,573 - [CLIENT 004] Successfully claimed block at (6, 7)
2025-12-11 03:08:39,625 - [CLIENT 004] Successfully claimed block at (5, 7)
2025-12-11 03:08:40,906 - [CLIENT 004] Successfully claimed block at (3, 7)
2025-12-11 03:08:41,904 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-11 03:08:42,205 - [CLIENT 003] Successfully claimed block at (4, 3)
2025-12-11 03:08:43,268 - [CLIENT 003] Successfully claimed block at (5, 3)
2025-12-11 03:08:45,933 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-11 03:08:47,054 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:08:50,521 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:08:52,322 - [CLIENT 003] Successfully claimed block at (3, 1)
2025-12-11 03:08:53,556 - [CLIENT 003] Successfully claimed block at (3, 2)
2025-12-11 03:08:58,231 - [CLIENT 003] Successfully claimed block at (4, 6)
2025-12-11 03:09:01,592 - [CLIENT 003] Successfully claimed block at (3, 3)
2025-12-11 03:09:03,242 - [CLIENT 003] Successfully claimed block at (4, 2)
2025-12-11 03:09:03,814 - [CLIENT 003] Claim rejected by server.
2025-12-11 03:09:05,668 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:08,054 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:11,075 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:13,235 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:15,688 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:16,330 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:18,693 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:20,066 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:21,329 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:25,777 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:28,698 - [CLIENT 003] Successfully claimed block at (4, 1)
2025-12-11 03:09:32,038 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:33,864 - [CLIENT 003] Successfully claimed block at (5, 1)
2025-12-11 03:09:33,866 - [CLIENT 003] Game Over received.
2025-12-11 03:09:33,867 - [CLIENT 003] 2025-12-11 03:09:33,866 - [CLIENT 002] Winner: 4. Stats - Sent: 10982, Recv: 11418
:09:33,866 - [CLIENT 001] Winner: 4. Stats - Sent: 10982, Recv: 11418
sfully claimed block at (12, 8)
2025-12-11 03:08:43,356 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:43,362 - [CLIENT 004] Successfully claimed block at (12, 8)
2025-12-11 03:08:43,456 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:43,491 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:43,501 - [CLIENT 004] Successfully claimed block at (13, 8)
2025-12-11 03:08:43,527 - [CLIENT 004] Successfully claimed block at (13, 8)
2025-12-11 03:08:43,573 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:43,701 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:43,706 - [CLIENT 004] Successfully claimed block at (14, 8)
2025-12-11 03:08:43,719 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:43,836 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:43,852 - [CLIENT 004] Successfully claimed block at (15, 8)
2025-12-11 03:08:43,853 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:43,874 - [CLIENT 004] You collected a SPECIAL BOOST (Type 1)!
2025-12-11 03:08:44,000 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:44,049 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,058 - [CLIENT 004] Successfully claimed block at (17, 7)
2025-12-11 03:08:44,133 - [CLIENT 004] ACTION: User requested move direction 1
2025-12-11 03:08:44,184 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,189 - [CLIENT 004] Successfully claimed block at (18, 7)
2025-12-11 03:08:44,300 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:44,334 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,338 - [CLIENT 004] Successfully claimed block at (18, 8)
2025-12-11 03:08:44,399 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:44,480 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,487 - [CLIENT 004] Successfully claimed block at (18, 9)
2025-12-11 03:08:44,616 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:44,649 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,659 - [CLIENT 004] Successfully claimed block at (17, 10)
2025-12-11 03:08:44,748 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:44,781 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,788 - [CLIENT 004] Successfully claimed block at (17, 11)
2025-12-11 03:08:44,883 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:44,950 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:44,961 - [CLIENT 004] Successfully claimed block at (17, 12)
2025-12-11 03:08:45,032 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:45,117 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,122 - [CLIENT 004] Successfully claimed block at (17, 13)
2025-12-11 03:08:45,168 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:45,283 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,291 - [CLIENT 004] Successfully claimed block at (17, 15)
2025-12-11 03:08:45,316 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:45,447 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,452 - [CLIENT 004] Successfully claimed block at (17, 16)
2025-12-11 03:08:45,482 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:45,600 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,604 - [CLIENT 004] Successfully claimed block at (17, 17)
2025-12-11 03:08:45,650 - [CLIENT 004] ACTION: User requested move direction 3
2025-12-11 03:08:45,781 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:45,781 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,786 - [CLIENT 004] Successfully claimed block at (16, 17)
2025-12-11 03:08:45,931 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:45,948 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:45,955 - [CLIENT 004] Successfully claimed block at (15, 17)
2025-12-11 03:08:46,063 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,200 - [CLIENT 004] Successfully claimed block at (14, 17)
2025-12-11 03:08:46,226 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,292 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:46,296 - [CLIENT 004] Successfully claimed block at (13, 17)
2025-12-11 03:08:46,375 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,439 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:46,446 - [CLIENT 004] Successfully claimed block at (12, 17)
2025-12-11 03:08:46,507 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,600 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:46,710 - [CLIENT 004] Successfully claimed block at (11, 16)
2025-12-11 03:08:46,710 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,777 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:46,817 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:46,819 - [CLIENT 004] Successfully claimed block at (10, 16)
2025-12-11 03:08:46,951 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:46,956 - [CLIENT 004] Successfully claimed block at (9, 16)
2025-12-11 03:08:46,967 - [CLIENT 004] ACTION: User requested move direction 0
2025-12-11 03:08:47,101 - [CLIENT 004] ACTION: User attempting to CLAIM block
2025-12-11 03:08:47,107 - [CLIENT 004] Successfully claimed block at (8, 16)
2025-12-11 03:08:47,135 - [CLIENT 004] ACTION: User requested move direction 0
