timestamp,cpu_percent,clients_connected,packets_sent,packets_received,bandwidth_kbps
1765404065.90,8.2,0,0,0,0.00
1765404066.91,24.9,0,0,0,0.00
1765404067.91,18.6,0,0,0,0.00
1765404068.92,23.1,1,27,25,15.80
1765404069.92,53.9,2,66,64,23.36
1765404070.93,39.3,3,127,124,35.27
1765404071.94,28.0,4,210,195,49.56
1765404072.95,30.5,4,301,290,57.29
1765404073.96,17.3,4,401,391,62.39
1765404074.97,13.8,4,506,501,71.75
1765404075.97,14.4,4,606,603,69.48
1765404076.97,14.2,4,705,702,68.11
1765404077.97,14.4,4,806,799,70.83
1765404078.98,17.8,4,906,899,70.96
1765404079.99,16.4,4,1006,1001,71.84
1765404080.99,13.4,4,1116,1114,81.03
1765404082.00,14.8,4,1214,1208,72.89
1765404083.00,15.4,4,1309,1307,71.98
1765404084.00,13.4,4,1415,1412,80.66
1765404085.00,17.8,4,1516,1517,78.52
1765404086.01,15.3,4,1618,1621,80.01
1765404087.01,13.6,4,1727,1732,85.14
1765404088.02,40.6,4,1820,1826,77.51
1765404089.02,25.9,4,1919,1921,81.04
1765404090.02,15.3,4,2024,2026,86.26
1765404091.03,16.7,4,2137,2137,87.02
1765404092.03,18.9,4,2240,2247,82.91
1765404093.04,17.0,4,2344,2349,83.24
1765404094.04,13.6,4,2437,2446,77.38
1765404095.04,13.5,4,2536,2544,77.01
1765404096.05,14.7,4,2637,2600,70.36
1765404097.06,29.0,4,2726,2627,58.64
1765404098.07,30.2,4,2818,2627,54.64
1765404099.07,9.3,4,2914,2627,58.75
1765404100.08,5.0,4,3010,2627,60.08
1765404101.09,5.4,4,3106,2627,60.29
