2025-12-13 14:51:02,088 -- 1765630262.088552 -- [STARTUP] [Snap: 0] Server initialized. Listening on port 1234...
2025-12-13 14:51:04,161 -- 1765630264.161561 -- [CONNECT] [Snap: 51] [Seq: 0] New connection accepted. Assigned Player ID 1 to ('127.0.0.1', 45948)
2025-12-13 14:51:04,325 -- 1765630264.325386 -- [MOVE] [Snap: 55] [Seq: 1] Player 1 moved from (16, 7) to (17, 7)
2025-12-13 14:51:04,408 -- 1765630264.408287 -- [MOVE] [Snap: 57] [Seq: 2] Player 1 moved from (17, 7) to (16, 7)
2025-12-13 14:51:04,502 -- 1765630264.502028 -- [MOVE] [Snap: 59] [Seq: 3] Player 1 moved from (16, 7) to (15, 7)
2025-12-13 14:51:04,564 -- 1765630264.564216 -- [MOVE] [Snap: 61] [Seq: 4] Player 1 moved from (15, 7) to (14, 7)
2025-12-13 14:51:04,575 -- 1765630264.575344 -- [CONNECT] [Snap: 61] [Seq: 0] New connection accepted. Assigned Player ID 2 to ('127.0.0.1', 49846)
2025-12-13 14:51:04,637 -- 1765630264.637021 -- [MOVE] [Snap: 62] [Seq: 5] Player 1 moved from (14, 7) to (14, 8)
2025-12-13 14:51:04,699 -- 1765630264.699040 -- [MOVE] [Snap: 64] [Seq: 6] Player 1 moved from (14, 8) to (13, 8)
2025-12-13 14:51:04,740 -- 1765630264.740572 -- [MOVE] [Snap: 65] [Seq: 1] Player 2 moved from (2, 17) to (3, 17)
2025-12-13 14:51:04,791 -- 1765630264.791889 -- [MOVE] [Snap: 66] [Seq: 7] Player 1 moved from (13, 8) to (13, 9)
2025-12-13 14:51:04,812 -- 1765630264.812773 -- [MOVE] [Snap: 67] [Seq: 2] Player 2 moved from (3, 17) to (2, 17)
2025-12-13 14:51:04,853 -- 1765630264.853928 -- [MOVE] [Snap: 68] [Seq: 8] Player 1 moved from (13, 9) to (13, 8)
2025-12-13 14:51:04,915 -- 1765630264.915790 -- [MOVE] [Snap: 69] [Seq: 9] Player 1 moved from (13, 8) to (13, 7)
2025-12-13 14:51:04,916 -- 1765630264.916113 -- [MOVE] [Snap: 69] [Seq: 3] Player 2 moved from (2, 17) to (1, 17)
2025-12-13 14:51:04,980 -- 1765630264.980441 -- [MOVE] [Snap: 71] [Seq: 4] Player 2 moved from (1, 17) to (0, 17)
2025-12-13 14:51:05,001 -- 1765630265.001693 -- [MOVE] [Snap: 71] [Seq: 10] Player 1 moved from (13, 7) to (12, 7)
2025-12-13 14:51:05,053 -- 1765630265.053859 -- [MOVE] [Snap: 73] [Seq: 5] Player 2 moved from (0, 17) to (0, 18)
2025-12-13 14:51:05,095 -- 1765630265.095303 -- [MOVE] [Snap: 74] [Seq: 11] Player 1 moved from (12, 7) to (12, 8)
2025-12-13 14:51:05,127 -- 1765630265.127118 -- [GAME] [Snap: 75] Spawned Event 2 (Type 1) at 19,2
2025-12-13 14:51:05,147 -- 1765630265.147565 -- [MOVE] [Snap: 75] [Seq: 12] Player 1 moved from (12, 8) to (12, 7)
2025-12-13 14:51:05,147 -- 1765630265.147879 -- [CONNECT] [Snap: 75] [Seq: 0] New connection accepted. Assigned Player ID 3 to ('127.0.0.1', 53502)
2025-12-13 14:51:05,209 -- 1765630265.209568 -- [MOVE] [Snap: 76] [Seq: 7] Player 2 moved from (0, 18) to (0, 19)
2025-12-13 14:51:05,220 -- 1765630265.220611 -- [MOVE] [Snap: 77] [Seq: 13] Player 1 moved from (12, 7) to (11, 7)
2025-12-13 14:51:05,271 -- 1765630265.271644 -- [MOVE] [Snap: 78] [Seq: 8] Player 2 moved from (0, 19) to (0, 18)
2025-12-13 14:51:05,302 -- 1765630265.302769 -- [MOVE] [Snap: 79] [Seq: 14] Player 1 moved from (11, 7) to (10, 7)
2025-12-13 14:51:05,313 -- 1765630265.313438 -- [MOVE] [Snap: 79] [Seq: 1] Player 3 moved from (7, 1) to (8, 1)
2025-12-13 14:51:05,323 -- 1765630265.323887 -- [MOVE] [Snap: 79] [Seq: 9] Player 2 moved from (0, 18) to (0, 17)
2025-12-13 14:51:05,385 -- 1765630265.385640 -- [MOVE] [Snap: 81] [Seq: 2] Player 3 moved from (8, 1) to (7, 1)
2025-12-13 14:51:05,395 -- 1765630265.395998 -- [MOVE] [Snap: 81] [Seq: 15] Player 1 moved from (10, 7) to (10, 8)
2025-12-13 14:51:05,457 -- 1765630265.457353 -- [MOVE] [Snap: 82] [Seq: 3] Player 3 moved from (7, 1) to (6, 1)
2025-12-13 14:51:05,468 -- 1765630265.468150 -- [MOVE] [Snap: 83] [Seq: 16] Player 1 moved from (10, 8) to (10, 7)
2025-12-13 14:51:05,509 -- 1765630265.509381 -- [MOVE] [Snap: 84] [Seq: 11] Player 2 moved from (0, 17) to (0, 18)
2025-12-13 14:51:05,519 -- 1765630265.519673 -- [MOVE] [Snap: 84] [Seq: 4] Player 3 moved from (6, 1) to (5, 1)
2025-12-13 14:51:05,519 -- 1765630265.519968 -- [MOVE] [Snap: 84] [Seq: 17] Player 1 moved from (10, 7) to (10, 6)
2025-12-13 14:51:05,560 -- 1765630265.560798 -- [MOVE] [Snap: 85] [Seq: 12] Player 2 moved from (0, 18) to (0, 17)
2025-12-13 14:51:05,581 -- 1765630265.581464 -- [CONNECT] [Snap: 85] [Seq: 0] New connection accepted. Assigned Player ID 4 to ('127.0.0.1', 45904)
2025-12-13 14:51:05,602 -- 1765630265.602578 -- [MOVE] [Snap: 86] [Seq: 5] Player 3 moved from (5, 1) to (5, 2)
2025-12-13 14:51:05,603 -- 1765630265.603157 -- [MOVE] [Snap: 86] [Seq: 18] Player 1 moved from (10, 6) to (9, 6)
2025-12-13 14:51:05,664 -- 1765630265.664410 -- [MOVE] [Snap: 87] [Seq: 6] Player 3 moved from (5, 2) to (4, 2)
2025-12-13 14:51:05,685 -- 1765630265.685829 -- [MOVE] [Snap: 88] [Seq: 19] Player 1 moved from (9, 6) to (10, 6)
2025-12-13 14:51:05,747 -- 1765630265.747045 -- [MOVE] [Snap: 89] [Seq: 1] Player 4 moved from (6, 6) to (7, 6)
2025-12-13 14:51:05,747 -- 1765630265.747302 -- [MOVE] [Snap: 89] [Seq: 20] Player 1 moved from (10, 6) to (11, 6)
2025-12-13 14:51:05,747 -- 1765630265.747538 -- [MOVE] [Snap: 89] [Seq: 7] Player 3 moved from (4, 2) to (4, 3)
2025-12-13 14:51:05,809 -- 1765630265.809249 -- [MOVE] [Snap: 91] [Seq: 2] Player 4 moved from (7, 6) to (6, 6)
2025-12-13 14:51:05,819 -- 1765630265.819562 -- [MOVE] [Snap: 91] [Seq: 15] Player 2 moved from (0, 17) to (0, 18)
2025-12-13 14:51:05,819 -- 1765630265.819814 -- [MOVE] [Snap: 91] [Seq: 8] Player 3 moved from (4, 3) to (4, 2)
2025-12-13 14:51:05,829 -- 1765630265.829995 -- [MOVE] [Snap: 91] [Seq: 21] Player 1 moved from (11, 6) to (10, 6)
2025-12-13 14:51:05,870 -- 1765630265.870951 -- [MOVE] [Snap: 92] [Seq: 9] Player 3 moved from (4, 2) to (4, 1)
2025-12-13 14:51:05,881 -- 1765630265.881824 -- [MOVE] [Snap: 93] [Seq: 16] Player 2 moved from (0, 18) to (0, 17)
2025-12-13 14:51:05,892 -- 1765630265.892320 -- [MOVE] [Snap: 93] [Seq: 22] Player 1 moved from (10, 6) to (10, 5)
2025-12-13 14:51:05,892 -- 1765630265.892611 -- [MOVE] [Snap: 93] [Seq: 3] Player 4 moved from (6, 6) to (5, 6)
2025-12-13 14:51:05,933 -- 1765630265.933844 -- [MOVE] [Snap: 94] [Seq: 17] Player 2 moved from (0, 17) to (0, 16)
2025-12-13 14:51:05,954 -- 1765630265.954500 -- [MOVE] [Snap: 94] [Seq: 4] Player 4 moved from (5, 6) to (4, 6)
2025-12-13 14:51:05,965 -- 1765630265.965760 -- [MOVE] [Snap: 95] [Seq: 23] Player 1 moved from (10, 5) to (10, 4)
2025-12-13 14:51:05,966 -- 1765630265.966548 -- [MOVE] [Snap: 95] [Seq: 10] Player 3 moved from (4, 1) to (3, 1)
2025-12-13 14:51:06,028 -- 1765630266.028166 -- [MOVE] [Snap: 96] [Seq: 24] Player 1 moved from (10, 4) to (10, 5)
2025-12-13 14:51:06,038 -- 1765630266.038583 -- [MOVE] [Snap: 96] [Seq: 5] Player 4 moved from (4, 6) to (4, 7)
2025-12-13 14:51:06,049 -- 1765630266.049320 -- [MOVE] [Snap: 97] [Seq: 11] Player 3 moved from (3, 1) to (3, 2)
2025-12-13 14:51:06,079 -- 1765630266.079959 -- [MOVE] [Snap: 97] [Seq: 25] Player 1 moved from (10, 5) to (10, 4)
2025-12-13 14:51:06,100 -- 1765630266.100853 -- [MOVE] [Snap: 98] [Seq: 6] Player 4 moved from (4, 7) to (3, 7)
2025-12-13 14:51:06,101 -- 1765630266.101404 -- [MOVE] [Snap: 98] [Seq: 19] Player 2 moved from (0, 16) to (1, 16)
2025-12-13 14:51:06,101 -- 1765630266.101830 -- [MOVE] [Snap: 98] [Seq: 12] Player 3 moved from (3, 2) to (3, 1)
2025-12-13 14:51:06,163 -- 1765630266.163409 -- [MOVE] [Snap: 99] [Seq: 20] Player 2 moved from (1, 16) to (2, 16)
2025-12-13 14:51:06,165 -- 1765630266.165216 -- [MOVE] [Snap: 99] [Seq: 26] Player 1 moved from (10, 4) to (10, 5)
2025-12-13 14:51:06,189 -- 1765630266.189479 -- [MOVE] [Snap: 100] [Seq: 13] Player 3 moved from (3, 1) to (2, 1)
2025-12-13 14:51:06,189 -- 1765630266.189872 -- [MOVE] [Snap: 100] [Seq: 7] Player 4 moved from (3, 7) to (3, 8)
2025-12-13 14:51:06,241 -- 1765630266.241456 -- [CLAIM] [Snap: 101] [Seq: 27] Player 1 successfully CLAIMED block at (10, 5)
2025-12-13 14:51:06,241 -- 1765630266.241888 -- [MOVE] [Snap: 101] [Seq: 21] Player 2 moved from (2, 16) to (1, 16)
2025-12-13 14:51:06,252 -- 1765630266.252728 -- [MOVE] [Snap: 102] [Seq: 8] Player 4 moved from (3, 8) to (3, 7)
2025-12-13 14:51:06,263 -- 1765630266.263325 -- [MOVE] [Snap: 102] [Seq: 14] Player 3 moved from (2, 1) to (1, 1)
2025-12-13 14:51:06,295 -- 1765630266.295096 -- [MOVE] [Snap: 103] [Seq: 28] Player 1 moved from (10, 5) to (9, 5)
2025-12-13 14:51:06,305 -- 1765630266.305904 -- [MOVE] [Snap: 103] [Seq: 9] Player 4 moved from (3, 7) to (3, 6)
2025-12-13 14:51:06,306 -- 1765630266.306472 -- [MOVE] [Snap: 103] [Seq: 22] Player 2 moved from (1, 16) to (1, 15)
2025-12-13 14:51:06,357 -- 1765630266.357953 -- [MOVE] [Snap: 104] [Seq: 15] Player 3 moved from (1, 1) to (1, 2)
2025-12-13 14:51:06,378 -- 1765630266.378978 -- [MOVE] [Snap: 105] [Seq: 23] Player 2 moved from (1, 15) to (1, 14)
2025-12-13 14:51:06,389 -- 1765630266.389886 -- [MOVE] [Snap: 105] [Seq: 29] Player 1 moved from (9, 5) to (10, 5)
2025-12-13 14:51:06,400 -- 1765630266.400614 -- [MOVE] [Snap: 105] [Seq: 10] Player 4 moved from (3, 6) to (2, 6)
2025-12-13 14:51:06,421 -- 1765630266.421795 -- [MOVE] [Snap: 106] [Seq: 16] Player 3 moved from (1, 2) to (1, 1)
2025-12-13 14:51:06,443 -- 1765630266.443333 -- [MOVE] [Snap: 106] [Seq: 24] Player 2 moved from (1, 14) to (1, 15)
2025-12-13 14:51:06,474 -- 1765630266.474489 -- [MOVE] [Snap: 107] [Seq: 30] Player 1 moved from (10, 5) to (9, 5)
2025-12-13 14:51:06,485 -- 1765630266.485008 -- [MOVE] [Snap: 107] [Seq: 17] Player 3 moved from (1, 1) to (1, 0)
2025-12-13 14:51:06,485 -- 1765630266.485275 -- [MOVE] [Snap: 107] [Seq: 11] Player 4 moved from (2, 6) to (2, 7)
2025-12-13 14:51:06,495 -- 1765630266.495664 -- [MOVE] [Snap: 107] [Seq: 25] Player 2 moved from (1, 15) to (1, 14)
2025-12-13 14:51:06,536 -- 1765630266.536862 -- [MOVE] [Snap: 108] [Seq: 12] Player 4 moved from (2, 7) to (2, 6)
2025-12-13 14:51:06,547 -- 1765630266.547713 -- [MOVE] [Snap: 109] [Seq: 31] Player 1 moved from (9, 5) to (9, 6)
2025-12-13 14:51:06,568 -- 1765630266.568245 -- [MOVE] [Snap: 109] [Seq: 18] Player 3 moved from (1, 0) to (0, 0)
2025-12-13 14:51:06,582 -- 1765630266.582638 -- [MOVE] [Snap: 110] [Seq: 26] Player 2 moved from (1, 14) to (1, 15)
2025-12-13 14:51:06,623 -- 1765630266.623857 -- [MOVE] [Snap: 111] [Seq: 13] Player 4 moved from (2, 6) to (1, 6)
2025-12-13 14:51:06,625 -- 1765630266.625165 -- [CLAIM] [Snap: 111] [Seq: 32] Player 1 successfully CLAIMED block at (9, 6)
2025-12-13 14:51:06,645 -- 1765630266.645902 -- [MOVE] [Snap: 111] [Seq: 19] Player 3 moved from (0, 0) to (1, 0)
2025-12-13 14:51:06,656 -- 1765630266.656967 -- [CLAIM] [Snap: 112] [Seq: 27] Player 2 successfully CLAIMED block at (1, 15)
2025-12-13 14:51:06,698 -- 1765630266.698218 -- [MOVE] [Snap: 113] [Seq: 14] Player 4 moved from (1, 6) to (0, 6)
2025-12-13 14:51:06,708 -- 1765630266.708773 -- [MOVE] [Snap: 113] [Seq: 20] Player 3 moved from (1, 0) to (2, 0)
2025-12-13 14:51:06,709 -- 1765630266.709075 -- [MOVE] [Snap: 113] [Seq: 28] Player 2 moved from (1, 15) to (0, 15)
2025-12-13 14:51:06,719 -- 1765630266.719454 -- [MOVE] [Snap: 113] [Seq: 33] Player 1 moved from (9, 6) to (8, 6)
2025-12-13 14:51:06,791 -- 1765630266.791918 -- [MOVE] [Snap: 115] [Seq: 21] Player 3 moved from (2, 0) to (1, 0)
2025-12-13 14:51:06,792 -- 1765630266.792301 -- [MOVE] [Snap: 115] [Seq: 15] Player 4 moved from (0, 6) to (0, 7)
2025-12-13 14:51:06,802 -- 1765630266.802823 -- [MOVE] [Snap: 115] [Seq: 34] Player 1 moved from (8, 6) to (8, 5)
2025-12-13 14:51:06,803 -- 1765630266.803341 -- [MOVE] [Snap: 115] [Seq: 29] Player 2 moved from (0, 15) to (1, 15)
2025-12-13 14:51:06,865 -- 1765630266.865616 -- [MOVE] [Snap: 117] [Seq: 16] Player 4 moved from (0, 7) to (0, 6)
2025-12-13 14:51:06,886 -- 1765630266.886918 -- [MOVE] [Snap: 117] [Seq: 35] Player 1 moved from (8, 5) to (8, 4)
2025-12-13 14:51:06,897 -- 1765630266.897470 -- [MOVE] [Snap: 117] [Seq: 30] Player 2 moved from (1, 15) to (0, 15)
2025-12-13 14:51:06,918 -- 1765630266.918669 -- [MOVE] [Snap: 118] [Seq: 17] Player 4 moved from (0, 6) to (0, 5)
2025-12-13 14:51:06,960 -- 1765630266.960955 -- [MOVE] [Snap: 119] [Seq: 31] Player 2 moved from (0, 15) to (0, 16)
2025-12-13 14:51:06,961 -- 1765630266.961493 -- [MOVE] [Snap: 119] [Seq: 36] Player 1 moved from (8, 4) to (8, 3)
2025-12-13 14:51:06,982 -- 1765630266.982087 -- [MOVE] [Snap: 119] [Seq: 24] Player 3 moved from (1, 0) to (1, 1)
2025-12-13 14:51:07,033 -- 1765630267.033714 -- [CLAIM] [Snap: 121] [Seq: 32] Player 2 successfully CLAIMED block at (0, 16)
2025-12-13 14:51:07,044 -- 1765630267.044284 -- [MOVE] [Snap: 121] [Seq: 25] Player 3 moved from (1, 1) to (1, 0)
2025-12-13 14:51:07,064 -- 1765630267.064881 -- [MOVE] [Snap: 121] [Seq: 37] Player 1 moved from (8, 3) to (7, 3)
2025-12-13 14:51:07,085 -- 1765630267.085751 -- [MOVE] [Snap: 122] [Seq: 19] Player 4 moved from (0, 5) to (1, 5)
2025-12-13 14:51:07,127 -- 1765630267.127133 -- [MOVE] [Snap: 123] [Seq: 26] Player 3 moved from (1, 0) to (1, 1)
2025-12-13 14:51:07,147 -- 1765630267.147606 -- [MOVE] [Snap: 123] [Seq: 20] Player 4 moved from (1, 5) to (2, 5)
2025-12-13 14:51:07,158 -- 1765630267.158697 -- [MOVE] [Snap: 124] [Seq: 38] Player 1 moved from (7, 3) to (8, 3)
2025-12-13 14:51:07,200 -- 1765630267.200175 -- [CLAIM] [Snap: 125] [Seq: 27] Player 3 successfully CLAIMED block at (1, 1)
2025-12-13 14:51:07,210 -- 1765630267.210606 -- [MOVE] [Snap: 125] [Seq: 39] Player 1 moved from (8, 3) to (7, 3)
2025-12-13 14:51:07,211 -- 1765630267.211487 -- [MOVE] [Snap: 125] [Seq: 34] Player 2 moved from (0, 16) to (0, 15)
2025-12-13 14:51:07,232 -- 1765630267.232169 -- [MOVE] [Snap: 125] [Seq: 21] Player 4 moved from (2, 5) to (1, 5)
2025-12-13 14:51:07,253 -- 1765630267.253495 -- [MOVE] [Snap: 126] [Seq: 28] Player 3 moved from (1, 1) to (0, 1)
2025-12-13 14:51:07,284 -- 1765630267.284442 -- [MOVE] [Snap: 127] [Seq: 22] Player 4 moved from (1, 5) to (1, 4)
2025-12-13 14:51:07,295 -- 1765630267.295104 -- [MOVE] [Snap: 127] [Seq: 40] Player 1 moved from (7, 3) to (6, 3)
2025-12-13 14:51:07,305 -- 1765630267.305587 -- [MOVE] [Snap: 127] [Seq: 35] Player 2 moved from (0, 15) to (0, 14)
2025-12-13 14:51:07,346 -- 1765630267.346953 -- [MOVE] [Snap: 128] [Seq: 29] Player 3 moved from (0, 1) to (1, 1)
2025-12-13 14:51:07,357 -- 1765630267.357389 -- [MOVE] [Snap: 128] [Seq: 23] Player 4 moved from (1, 4) to (1, 3)
2025-12-13 14:51:07,378 -- 1765630267.378499 -- [MOVE] [Snap: 129] [Seq: 36] Player 2 moved from (0, 14) to (0, 13)
2025-12-13 14:51:07,389 -- 1765630267.389376 -- [MOVE] [Snap: 129] [Seq: 41] Player 1 moved from (6, 3) to (6, 2)
2025-12-13 14:51:07,420 -- 1765630267.420924 -- [MOVE] [Snap: 130] [Seq: 24] Player 4 moved from (1, 3) to (1, 4)
2025-12-13 14:51:07,441 -- 1765630267.441470 -- [MOVE] [Snap: 130] [Seq: 30] Player 3 moved from (1, 1) to (0, 1)
2025-12-13 14:51:07,452 -- 1765630267.452472 -- [MOVE] [Snap: 131] [Seq: 42] Player 1 moved from (6, 2) to (5, 2)
2025-12-13 14:51:07,473 -- 1765630267.473119 -- [MOVE] [Snap: 131] [Seq: 25] Player 4 moved from (1, 4) to (1, 3)
2025-12-13 14:51:07,504 -- 1765630267.504447 -- [MOVE] [Snap: 132] [Seq: 43] Player 1 moved from (5, 2) to (4, 2)
2025-12-13 14:51:07,504 -- 1765630267.504919 -- [MOVE] [Snap: 132] [Seq: 31] Player 3 moved from (0, 1) to (0, 2)
2025-12-13 14:51:07,566 -- 1765630267.566383 -- [MOVE] [Snap: 133] [Seq: 26] Player 4 moved from (1, 3) to (1, 4)
2025-12-13 14:51:07,566 -- 1765630267.566725 -- [MOVE] [Snap: 133] [Seq: 38] Player 2 moved from (0, 13) to (1, 13)
2025-12-13 14:51:07,587 -- 1765630267.587587 -- [CLAIM] [Snap: 134] [Seq: 32] Player 3 successfully CLAIMED block at (0, 2)
2025-12-13 14:51:07,608 -- 1765630267.608126 -- [MOVE] [Snap: 134] [Seq: 44] Player 1 moved from (4, 2) to (5, 2)
2025-12-13 14:51:07,629 -- 1765630267.629144 -- [MOVE] [Snap: 135] [Seq: 39] Player 2 moved from (1, 13) to (0, 13)
2025-12-13 14:51:07,629 -- 1765630267.629489 -- [CLAIM] [Snap: 135] [Seq: 27] Player 4 successfully CLAIMED block at (1, 4)
2025-12-13 14:51:07,660 -- 1765630267.660735 -- [MOVE] [Snap: 136] [Seq: 45] Player 1 moved from (5, 2) to (6, 2)
2025-12-13 14:51:07,691 -- 1765630267.691295 -- [MOVE] [Snap: 136] [Seq: 28] Player 4 moved from (1, 4) to (0, 4)
2025-12-13 14:51:07,722 -- 1765630267.722323 -- [MOVE] [Snap: 137] [Seq: 46] Player 1 moved from (6, 2) to (6, 3)
2025-12-13 14:51:07,763 -- 1765630267.763705 -- [MOVE] [Snap: 138] [Seq: 34] Player 3 moved from (0, 2) to (0, 1)
